Prod. Date,Unit,Used Mch.,Oper ator,Helper,SMV,Avg Hour,Lost Hour,QC Pass,Target,Efficiency,TGT Achv %,Daily Rank,Accu. QC Pass,Accu. W.Hour,Accu. Efficiency,Accu. TGT Achv,Accu Rank,Accu. SMV,Yr. Accu. Efficiency
45846,JAL-1,232,219,51,6.67,9.82,3,17760,17424,0.7327,1.0193,5,137380,9.99,0.7414,1.0057,6,6.47,0.749
45846,JAL-2,266,253,62,7.74,9.02,25,15040,15266,0.6801,0.9852,13,144490,11.49,0.6934,0.9515,13,7.77,0.7086
45846,FFL-1,233,211,51,7.23,10.44,12,13950,13249,0.6006,1.0529,30,90715,10.99,0.5808,0.9166,33,8.48,0.6047
45846,FFL-2,235,210,48,6.11,10.7,4,19060,20813,0.702,0.9158,7,137290,11.21,0.6997,0.9325,10,6.52,0.7013
45846,FFL-3,230,217,49,7.51,10.67,12,15920,16690,0.7027,0.9539,6,137410,12.34,0.705,0.981,8,7.52,0.706
JAL,,1196,1110,261,7,10.13,55,81730,83442,0.6832,0.9795,,647285,11.2,0.6838,0.9594,,7.28,0.6926
45846,JAL-3,140,131,29,5.86,9.48,3,10770,10879,0.6898,0.9899,11,83130,10.29,0.7271,1.0009,7,6,0.6804
JAL3,,140,131,29,5.86,9.48,3,10770,10879,0.6898,0.9899,,83130,10.29,0.7271,1.0009,,6,0.6804
45846,JFL-1,300,292,79,6.75,14.2,27,32922,33838,0.6775,0.9729,14,210518,14.31,0.643,0.9172,19,6.85,0.7089
45846,JFL-2,267,259,82,6.61,12.68,7,28233,28629,0.7014,0.9862,8,205500,12.58,0.6955,0.9997,11,6.32,0.7128
JFL,,567,551,161,6.68,13.44,34,61155,62467,0.6882,0.979,,416018,13.44,0.6669,0.9562,,6.59,0.7107
45846,JKL-1,242,226,49,7.49,11.21,1,17130,17795,0.6815,0.9626,12,114155,11.36,0.702,0.9693,9,7.92,0.6185
45846,JKL-2,240,214,35,9.78,12.58,0,12800,14452,0.6409,0.8857,23,89876,11.59,0.6744,0.9433,15,9.62,0.6351
45846,JKL-3,240,221,49,10.43,11.16,0,10530,12708,0.5847,0.8286,33,83560,11.75,0.657,0.9302,16,10.53,0.6225
45846,JKL-4,265,247,47,10.28,9.66,0,10330,10945,0.6252,0.9438,27,96683,11.6,0.6351,0.8777,22,9.52,0.5938
45846,JKL-5,272,250,60,8.03,10.39,0,15847,16741,0.6525,0.9466,21,113978,11.4,0.6376,0.8895,21,8.2,0.5915
45846,DBL,265,248,53,7.7,11.06,0,17176,16919,0.6921,1.0152,10,117324,11.24,0.6941,0.9708,12,8.22,0.6585
JKL,,1524,1406,293,8.7,11.01,1,83813,89561,0.6466,0.9358,,615576,11.49,0.6657,0.9298,,8.88,0.6191
45846,MFL,102,98,31,4.22,9.58,0,13722,13964,0.7808,0.9827,3,85538,9.4,0.7749,0.9765,4,4.74,0.7828
45846,MFL-1,256,263,71,7.78,8.68,8,13045,15387,0.5866,0.8478,32,94326,8.73,0.6114,0.8305,28,7.86,0.6208
45846,MFL-2,242,245,58,6.95,10.44,2,16477,19309,0.6288,0.8533,25,108031,9.47,0.6282,0.852,23,7.19,0.59
45846,MFL-3,255,258,63,7.16,8.98,2,15449,18031,0.6541,0.8568,19,93530,8.83,0.6387,0.8431,20,8.03,0.6356
45846,MFL-4,236,245,60,6.78,10.27,12,14168,16827,0.5377,0.842,34,97467,9.58,0.6047,0.8359,30,7.77,0.6003
MFL,,1091,1109,283,6.6,9.59,24,72861,83518,0.6184,0.8724,,478892,9.2,0.6355,0.8621,,7.16,0.6275
45846,FFL2-1,244,246,50,6.94,13.31,2,22385,26623,0.6561,0.8408,18,153944,12.89,0.6569,0.8741,17,7.04,0.6729
45846,FFL2-2,229,234,42,6.79,13.94,3,22100,25138,0.6536,0.8791,20,143179,13.12,0.6215,0.8552,27,6.85,0.6474
45846,FFL2-3,232,237,52,9.04,13.72,3,16380,20243,0.6125,0.8092,29,133540,13.31,0.5948,0.8404,31,7.31,0.6285
45846,FFL2-4,230,233,47,7.53,13.58,15,18483,26143,0.5948,0.707,31,140236,13.44,0.6109,0.8095,29,7.17,0.6618
45846,FFL2-5,244,247,43,7.92,14.01,5,20360,22614,0.6706,0.9003,16,138390,13.22,0.6233,0.8771,25,7.61,0.6494
FFL2,,1179,1197,234,7.56,13.71,27,99708,120761,0.6375,0.8257,,709289,13.19,0.6215,0.851,,7.19,0.6519
45846,JKL-U2-1,384,360,84,11.6,12.3,18,18211,20899,0.6506,0.8714,22,126208,11.61,0.6245,0.8432,24,11.21,0.6614
45846,JKL-U2-2,405,385,90,8.71,10.65,19,23535,24658,0.6758,0.9544,15,162049,10.35,0.6892,0.9772,14,8.83,0.6872
45846,JKL-U2-3,397,365,107,9.99,11.58,28,20875,22321,0.6389,0.9352,24,141290,11.59,0.5946,0.8853,32,9.85,0.6534
45846,JKL-U2-4,370,357,100,7.52,11.17,21,25530,31753,0.6271,0.804,26,159474,11.49,0.6216,0.8283,26,8.44,0.6537
45846,JKL-U2-5,390,379,105,9.96,12.07,11,22662,26129,0.6612,0.8673,17,149662,10.79,0.6459,0.8571,18,9.11,0.6589
JKL-U2,,1946,1846,486,9.41,11.55,97,110813,125760,0.6507,0.8811,,738683,11.17,0.6339,0.877,,9.4,0.6626
GMT TOTAL:,,7643,7350,1747,7.78,11.29,240,520850,576388.64,0.652,0.9036,,3688873,11.38,0.6499,0.9028,,7.83,0.6565
45846,FFL2-PADMA,172,179,48,3.78,10.37,2,32000,28531,0.8587,1.1216,1,216420,10.19,0.8452,1.0918,1,3.84,0.8375
45846,FFL2-MEGHNA,174,175,46,4.35,9.71,3,24800,20854,0.8371,1.1892,2,168581,9.88,0.7895,1.0883,3,4.25,0.8154
45846,FFL2-JAMUNA,170,175,48,3.53,9.92,0,26220,25364,0.699,1.0338,9,190087,9.24,0.7634,1.0282,5,3.48,0.7869
45846,FFL2-MADHUMATI,157,158,43,3.16,9.78,3,28800,26617,0.7739,1.082,4,224710,9.71,0.8285,1.0985,2,3.11,0.789
45846,FFL2-KARNAPHULI,219,189,52,4.51,9.48,16,18950,23219,0.621,0.8161,28,150480,10.12,0.5574,0.8183,34,4.01,0.6931
LINGERIE,,892,876,237,3.81,9.85,24,130770,124585,0.7574,1.0496,,950278,9.83,0.7496,1.0257,,3.69,0.7811
45846,GTAL-1,93,93,22,5.77,8.4,0,3478,7570,0.3324,0.4595,37,14399,6.54,0.2905,0.3877,37,5.83,0.2748
45846,GTAL-2,261,261,78,6.28,14.35,0,18085,36131,0.3876,0.5005,36,129576,13.26,0.3972,0.5425,36,6.19,0.4078
45846,GTAL-3,478,478,134,7.09,26.5,0,33548,55115,0.4861,0.6087,35,144174,18.75,0.4919,0.6958,35,6.97,0.4911
GTAL,,832,832,234,6.74,16.42,0,55111,98816,0.4409,0.5577,,288149,12.85,0.4112,0.6276,,6.33,0.4608
ALL TOTAL:,,9367,9058,2218,6.96,11.51,264,706731,799790.19,0.6379,0.8836,,4927300,11.29,0.6451,0.9005,,6.96,0.664
